COMUNE;COMUNE ADIACENTE;Provincia;Regione;Provincia comune vicino;Regione comune vicino;Zona appertenenza protezione civile;Sigla provincia
Travo;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Travo;Bobbio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Travo;Coli;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Travo;Gazzola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Travo;Piozzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Travo;Rivergaro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Travo;Vigolzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Vernasca;Alseno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vernasca;Castell'Arquato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vernasca;Lugagnano Val d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vernasca;Morfasso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vernasca;Bore;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Vernasca;Pellegrino Parmense;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Vernasca;Salsomaggiore Terme;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Vigolzone;Bettola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vigolzone;Podenzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vigolzone;Ponte dell'Olio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vigolzone;Rivergaro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vigolzone;San Giorgio Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Vigolzone;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Villanova sull'Arda;Stagno Lombardo;Piacenza;Emilia-Romagna;Cremona;Lombardia;H2;PC
Villanova sull'Arda;Besenzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Villanova sull'Arda;Castelvetro Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Villanova sull'Arda;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Villanova sull'Arda;Monticelli d'Ongina;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Villanova sull'Arda;San Pietro in Cerro;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Villanova sull'Arda;Busseto;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H2;PC
Villanova sull'Arda;Polesine Zibello;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H2;PC
Zerba;Cabella Ligure;Piacenza;Emilia-Romagna;Alessandria;Piemonte;G1;PC
Zerba;Fabbrica Curone;Piacenza;Emilia-Romagna;Alessandria;Piemonte;G1;PC
Zerba;Brallo di Pregola;Piacenza;Emilia-Romagna;Pavia;Lombardia;G1;PC
Zerba;Santa Margherita di Staffora;Piacenza;Emilia-Romagna;Pavia;Lombardia;G1;PC
Zerba;Cerignale;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Zerba;Ottone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PC
Ziano Piacentino;Rovescala;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Ziano Piacentino;Santa Maria della Versa;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Ziano Piacentino;Alta Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Ziano Piacentino;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Ziano Piacentino;Castel San Giovanni;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Albareto;Sesta Godano;Parma;Emilia-Romagna;La Spezia;Liguria;G1;PR
Albareto;Varese Ligure;Parma;Emilia-Romagna;La Spezia;Liguria;G1;PR
Albareto;Borgo Val di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Albareto;Compiano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Albareto;Tornolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Albareto;Pontremoli;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Albareto;Zeri;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Bardi;Farini;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Bardi;Ferriere;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Bardi;Morfasso;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Bardi;Bedonia;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bardi;Bore;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bardi;Borgo Val di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bardi;Compiano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bardi;Valmozzola;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bardi;Varsi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bedonia;Santo Stefano d'Aveto;Parma;Emilia-Romagna;Genova;Liguria;G1;PR
Bedonia;Ferriere;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;G1;PR
Bedonia;Bardi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Bedonia;Compiano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Bedonia;Tornolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Borgo Val di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Calestano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Corniglio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Solignano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Terenzo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Valmozzola;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Berceto;Pontremoli;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Bore;Morfasso;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Bore;Vernasca;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PR
Bore;Bardi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bore;Pellegrino Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bore;Varano de' Melegari;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Bore;Varsi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Borgo Val di Taro;Albareto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Borgo Val di Taro;Bardi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Borgo Val di Taro;Berceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Borgo Val di Taro;Compiano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Borgo Val di Taro;Valmozzola;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Borgo Val di Taro;Pontremoli;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Busseto;Alseno;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PR
Busseto;Besenzone;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PR
Busseto;Villanova sull'Arda;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PR
Busseto;Fidenza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Busseto;Polesine Zibello;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Busseto;Soragna;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Calestano;Berceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Calestano;Corniglio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Calestano;Felino;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Calestano;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Calestano;Sala Baganza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Calestano;Terenzo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Collecchio;Fornovo di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Collecchio;Medesano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Collecchio;Noceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Collecchio;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Collecchio;Sala Baganza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Colorno;Casalmaggiore;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Colorno;Gussola;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Colorno;Martignana di Po;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Colorno;Sissa Trecasali;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Colorno;Sorbolo Mezzani;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Colorno;Torrile;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Compiano;Albareto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Compiano;Bardi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Compiano;Bedonia;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Compiano;Borgo Val di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Compiano;Tornolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Berceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Calestano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Monchio delle Corti;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Palanzano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Tizzano Val Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Corniglio;Bagnone;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Corniglio;Filattiera;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Corniglio;Pontremoli;Parma;Emilia-Romagna;Massa-Carrara;Toscana;G1;PR
Felino;Calestano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Felino;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Felino;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Felino;Sala Baganza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Fidenza;Alseno;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Fidenza;Busseto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Fidenza;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Fidenza;Medesano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Fidenza;Noceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Fidenza;Salsomaggiore Terme;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Fidenza;Soragna;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Fontanellato;Fidenza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontanellato;Fontevivo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontanellato;Noceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontanellato;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontanellato;San Secondo Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontanellato;Sissa Trecasali;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontanellato;Soragna;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontevivo;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontevivo;Noceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fontevivo;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Fornovo di Taro;Collecchio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Fornovo di Taro;Medesano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Fornovo di Taro;Sala Baganza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Fornovo di Taro;Solignano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Fornovo di Taro;Terenzo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Fornovo di Taro;Varano de' Melegari;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Calestano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Corniglio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Felino;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Lesignano de' Bagni;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Neviano degli Arduini;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Langhirano;Tizzano Val Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Lesignano de' Bagni;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Lesignano de' Bagni;Neviano degli Arduini;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Lesignano de' Bagni;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Lesignano de' Bagni;Traversetolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Medesano;Collecchio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Medesano;Fidenza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Medesano;Fornovo di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Medesano;Noceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Medesano;Pellegrino Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Medesano;Salsomaggiore Terme;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Medesano;Varano de' Melegari;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Monchio delle Corti;Corniglio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E1;PR
Monchio delle Corti;Palanzano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E1;PR
Monchio delle Corti;Ventasso;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;E1;PR
Monchio delle Corti;Bagnone;Parma;Emilia-Romagna;Massa-Carrara;Toscana;E1;PR
Monchio delle Corti;Comano;Parma;Emilia-Romagna;Massa-Carrara;Toscana;E1;PR
Monchio delle Corti;Licciana Nardi;Parma;Emilia-Romagna;Massa-Carrara;Toscana;E1;PR
Montechiarugolo;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;F2;RE
Montechiarugolo;Traversetolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;F2;RE
Montechiarugolo;Montecchio Emilia;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;F2;RE
Montechiarugolo;San Polo d'Enza;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;F2;RE
Montechiarugolo;Sant'Ilario d'Enza;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;F2;RE
Neviano degli Arduini;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E2;PR
Neviano degli Arduini;Lesignano de' Bagni;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E2;PR
Neviano degli Arduini;Palanzano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E2;PR
Neviano degli Arduini;Tizzano Val Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E2;PR
Neviano degli Arduini;Traversetolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E2;PR
Neviano degli Arduini;Canossa;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;E2;PR
Neviano degli Arduini;Vetto;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;E2;PR
Noceto;Collecchio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Noceto;Fidenza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Noceto;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Noceto;Fontevivo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Noceto;Medesano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Noceto;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Palanzano;Corniglio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E1;PR
Palanzano;Monchio delle Corti;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E1;PR
Palanzano;Neviano degli Arduini;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E1;PR
Palanzano;Tizzano Val Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;E1;PR
Palanzano;Ventasso;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;E1;PR
Palanzano;Vetto;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;E1;PR
Parma;Collecchio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Felino;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Fontevivo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Lesignano de' Bagni;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Montechiarugolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Noceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Sala Baganza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Sissa Trecasali;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Sorbolo Mezzani;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Torrile;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Traversetolo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Parma;Gattatico;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;H2;PR
Parma;Sant'Ilario d'Enza;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;H2;PR
Pellegrino Parmense;Vernasca;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Pellegrino Parmense;Bore;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Pellegrino Parmense;Medesano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Pellegrino Parmense;Salsomaggiore Terme;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Pellegrino Parmense;Varano de' Melegari;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Polesine Zibello;Pieve d'Olmi;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Polesine Zibello;San Daniele Po;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Polesine Zibello;Stagno Lombardo;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Polesine Zibello;Villanova sull'Arda;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PR
Polesine Zibello;Busseto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Polesine Zibello;Roccabianca;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Polesine Zibello;Soragna;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Roccabianca;Motta Baluffi;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Roccabianca;San Daniele Po;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Roccabianca;Torricella del Pizzo;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Roccabianca;Polesine Zibello;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Roccabianca;San Secondo Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Roccabianca;Sissa Trecasali;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Roccabianca;Soragna;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sala Baganza;Calestano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Sala Baganza;Collecchio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Sala Baganza;Felino;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Sala Baganza;Fornovo di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Sala Baganza;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Sala Baganza;Terenzo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Salsomaggiore Terme;Alseno;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Salsomaggiore Terme;Vernasca;Parma;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PR
Salsomaggiore Terme;Fidenza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Salsomaggiore Terme;Medesano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
Salsomaggiore Terme;Pellegrino Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H1;PR
San Secondo Parmense;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
San Secondo Parmense;Roccabianca;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
San Secondo Parmense;Sissa Trecasali;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
San Secondo Parmense;Soragna;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sissa Trecasali;Gussola;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Sissa Trecasali;Martignana di Po;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Sissa Trecasali;Torricella del Pizzo;Parma;Emilia-Romagna;Cremona;Lombardia;H2;PR
Sissa Trecasali;Colorno;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sissa Trecasali;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sissa Trecasali;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sissa Trecasali;Roccabianca;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sissa Trecasali;San Secondo Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sissa Trecasali;Torrile;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Solignano;Berceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Solignano;Fornovo di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Solignano;Terenzo;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Solignano;Valmozzola;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Solignano;Varano de' Melegari;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Solignano;Varsi;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Soragna;Busseto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Soragna;Fidenza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Soragna;Fontanellato;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Soragna;Polesine Zibello;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Soragna;Roccabianca;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Soragna;San Secondo Parmense;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Sorbolo Mezzani;Casalmaggiore;Parma;Emilia-Romagna;Cremona;Lombardia;F3;PR
Sorbolo Mezzani;Viadana;Parma;Emilia-Romagna;Mantova;Lombardia;F3;PR
Sorbolo Mezzani;Colorno;Parma;Emilia-Romagna;Parma;Emilia-Romagna;F3;PR
Sorbolo Mezzani;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;F3;PR
Sorbolo Mezzani;Torrile;Parma;Emilia-Romagna;Parma;Emilia-Romagna;F3;PR
Sorbolo Mezzani;Brescello;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;F3;PR
Sorbolo Mezzani;Gattatico;Parma;Emilia-Romagna;Reggio Emilia;Emilia-Romagna;F3;PR
Terenzo;Berceto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Terenzo;Calestano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Terenzo;Fornovo di Taro;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Terenzo;Sala Baganza;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Terenzo;Solignano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G2;PR
Tizzano Val Parma;Corniglio;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Tizzano Val Parma;Langhirano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Tizzano Val Parma;Neviano degli Arduini;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Tizzano Val Parma;Palanzano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Tornolo;Borzonasca;Parma;Emilia-Romagna;Genova;Liguria;G1;PR
Tornolo;Mezzanego;Parma;Emilia-Romagna;Genova;Liguria;G1;PR
Tornolo;Santo Stefano d'Aveto;Parma;Emilia-Romagna;Genova;Liguria;G1;PR
Tornolo;Varese Ligure;Parma;Emilia-Romagna;La Spezia;Liguria;G1;PR
Tornolo;Albareto;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Tornolo;Bedonia;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Tornolo;Compiano;Parma;Emilia-Romagna;Parma;Emilia-Romagna;G1;PR
Torrile;Colorno;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
Torrile;Parma;Parma;Emilia-Romagna;Parma;Emilia-Romagna;H2;PR
